-- TIMES

INSERT INTO Times (Nome, Cidade, Estado, AnoFundacao, Estadio, CapacidadeEstadio, CorUniformePrimaria, CorUniformeSecundaria, Status)
VALUES
('Tigre FC', 'Fortaleza', 'CE', 1950, 'Estádio Tigre FC', 52000, 'Laranja', 'Preto', 1),
('Águia Azul', 'Belém', 'PA', 1951, 'Estádio Águia Azul', 52500, 'Azul', 'Branco', 1),
('Leões do Norte', 'Manaus', 'AM', 1952, 'Estádio Leões do Norte', 53000, 'Vermelho', 'Azul', 1),
('Furacão do Sul', 'Curitiba', 'PR', 1953, 'Estádio Furacão do Sul', 53500, 'Verde', 'Amarelo', 1),
('Dragões da Serra', 'Caxias', 'RS', 1954, 'Estádio Dragões da Serra', 54000, 'Roxo', 'Verde', 1),
('Cavaleiros de Aço', 'Campinas', 'SP', 1955, 'Estádio Cavaleiros de Aço', 54500, 'Cinza', 'Preto', 1),
('Estrelas do Oeste', 'Goiânia', 'GO', 1956, 'Estádio Estrelas do Oeste', 55000, 'Dourado', 'Branco', 1),
('Império Central', 'Brasília', 'DF', 1957, 'Estádio Império Central', 55500, 'Branco', 'Cinza', 1),
('Tempestade FC', 'Salvador', 'BA', 1958, 'Estádio Tempestade FC', 56000, 'Preto', 'Vermelho', 1),
('Raios da Montanha', 'Petrópolis', 'RJ', 1959, 'Estádio Raios da Montanha', 56500, 'Azul Marinho', 'Amarelo', 1),
('Marujos do Norte', 'Macapá', 'AP', 1960, 'Estádio Marujos do Norte', 57000, 'Amarelo', 'Preto', 1),
('Falcões do Vale', 'São José', 'SC', 1961, 'Estádio Falcões do Vale', 57500, 'Verde Escuro', 'Branco', 1),
('Corujas do Sul', 'Porto Alegre', 'RS', 1962, 'Estádio Corujas do Sul', 58000, 'Rosa', 'Azul', 1),
('Panteras Negras', 'Vitória', 'ES', 1963, 'Estádio Panteras Negras', 58500, 'Bordô', 'Cinza', 1),
('Lobos da Fronteira', 'Foz do Iguaçu', 'PR', 1964, 'Estádio Lobos da Fronteira', 59000, 'Azul Claro', 'Verde', 1),
('Guardiões da Areia', 'Natal', 'RN', 1965, 'Estádio Guardiões da Areia', 59500, 'Cinza Escuro', 'Preto', 1),
('Vento Leste FC', 'Aracaju', 'SE', 1966, 'Estádio Vento Leste FC', 60000, 'Lilás', 'Branco', 1),
('Titãs do Cerrado', 'Palmas', 'TO', 1967, 'Estádio Titãs do Cerrado', 60500, 'Marrom', 'Dourado', 1),
('Ciclones de Ouro', 'Uberlândia', 'MG', 1968, 'Estádio Ciclones de Ouro', 61000, 'Púrpura', 'Cinza', 1),
('Renegados FC', 'Bauru', 'SP', 1969, 'Estádio Renegados FC', 61500, 'Ciano', 'Verde', 1);

-- JOGADORES

SET IDENTITY_INSERT Jogadors ON;

INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (1, 'Luiz Otávio Mendes', '19940106', 'Coral Sea Islands', 3, 52, 1.69, 74, 0, 1);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (32, 'Benício Silveira', '19960617', 'Ilhas Salomão', 1, 14, 1.8, 73, 0, 2);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (33, 'Murilo Novaes', '20060720', 'Eritreia', 1, 24, 1.93, 66, 2, 2);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (34, 'Benício Rezende', '19980610', 'Nova Caledónia', 1, 52, 1.98, 77, 2, 2);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (35, 'Diego Melo', '20020323', 'Aruba', 4, 29, 1.86, 66, 1, 2);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (36, 'Diogo Rocha', '19921014', 'Togo', 4, 94, 1.86, 94, 2, 2);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (37, 'Diogo Lopes', '19900529', 'Burundi', 2, 21, 1.92, 93, 2, 2);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (38, 'Dr. Luiz Miguel Gonçalves', '19950207', 'Chade', 2, 98, 1.69, 97, 0, 2);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (39, 'Luiz Miguel Rezende', '20060622', 'Macau', 3, 55, 1.89, 66, 0, 2);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (40, 'Catarina Carvalho', '19991107', 'Ilha Norfolk', 1, 60, 1.75, 70, 2, 2);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (41, 'Dr. Gustavo Cardoso', '19961016', 'Haiti', 1, 32, 1.67, 96, 2, 2);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (42, 'Vicente da Mata', '19930822', 'Ilha Bouvet', 0, 32, 1.84, 66, 2, 2);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (43, 'Davi Lucca Santos', '19970318', 'Libéria', 2, 44, 1.78, 90, 0, 2);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (44, 'Evelyn da Cunha', '20020630', 'Domínica', 2, 76, 1.98, 94, 2, 2);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (45, 'Olivia Nascimento', '19960612', 'Pitcairn', 4, 94, 1.81, 72, 0, 2);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (46, 'Daniela Carvalho', '20010215', 'Costa Rica', 2, 84, 1.66, 72, 2, 2);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (47, 'Pedro Henrique Pinto', '20041111', 'Honduras', 0, 33, 1.84, 98, 1, 2);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (48, 'Pietra Farias', '19970331', 'Zimbabué', 0, 22, 1.89, 71, 2, 2);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (49, 'Dr. Davi Lucca Martins', '20020414', 'Finlândia', 2, 27, 1.87, 72, 1, 2);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (50, 'João Gabriel Gonçalves', '20051029', 'Equador', 2, 65, 1.76, 84, 2, 2);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (51, 'Nathan Martins', '19990620', 'Tailândia', 1, 16, 1.82, 100, 2, 2);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (52, 'Sr. Enzo Gabriel Rezende', '19950703', 'Dhekelia', 2, 29, 1.87, 82, 1, 2);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (53, 'Isabelly Silveira', '20050602', 'Niue', 1, 24, 1.78, 97, 2, 2);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (54, 'Erick Moreira', '20020514', 'Ucrânia', 3, 59, 1.87, 94, 2, 2);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (55, 'Enrico Caldeira', '20070204', 'Nicarágua', 1, 27, 1.89, 77, 2, 2);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (56, 'Renan Rezende', '20030223', 'Brasil', 0, 77, 1.7, 93, 0, 2);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (57, 'Rodrigo Caldeira', '20011206', 'Dinamarca', 3, 32, 1.75, 60, 0, 2);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (58, 'Sabrina Lopes', '19900907', 'Itália', 0, 16, 1.81, 91, 0, 2);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (59, 'Guilherme Campos', '20041013', 'Senegal', 4, 7, 1.96, 78, 0, 2);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (60, 'Pedro Lucas Ramos', '20050605', 'Tunísia', 2, 84, 1.74, 99, 1, 2);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (61, 'Gustavo Henrique Barros', '20060827', 'Samoa', 4, 87, 1.75, 92, 2, 3);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (62, 'Bruno Costela', '19930613', 'Turquia', 1, 86, 1.92, 93, 2, 3);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (63, 'Gustavo Henrique Castro', '20060505', 'Gana', 0, 3, 1.8, 99, 2, 3);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (64, 'Amanda das Neves', '19900812', 'Mayotte', 0, 14, 1.82, 92, 1, 3);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (65, 'Nicolas da Cruz', '19981005', 'Cabo Verde', 3, 6, 1.86, 96, 2, 3);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (66, 'Vitor Gabriel da Conceição', '20060325', 'Nova Zelândia', 0, 19, 1.76, 86, 2, 3);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (67, 'Larissa Martins', '19950918', 'Israel', 2, 62, 1.82, 65, 1, 3);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (68, 'Luana Fogaça', '19911116', 'Nepal', 3, 81, 1.84, 87, 2, 3);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (69, 'Otávio Silveira', '20040110', 'Dinamarca', 0, 42, 1.77, 97, 0, 3);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (70, 'Isaac da Rosa', '20050621', 'Micronésia', 3, 42, 1.84, 88, 1, 3);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (71, 'Sr. Vitor Gabriel Souza', '20000708', 'Austrália', 0, 1, 1.8, 62, 1, 3);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (72, 'Luiz Miguel Araújo', '20031204', 'Israel', 3, 2, 1.95, 96, 1, 3);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (73, 'Lucas das Neves', '19941218', 'Guatemala', 1, 79, 1.7, 82, 1, 3);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (74, 'Gabrielly Novaes', '19980821', 'Nigéria', 0, 51, 1.7, 74, 1, 3);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (75, 'Sofia Silva', '20050718', 'Vietnam', 1, 61, 1.86, 99, 0, 3);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (76, 'Alexandre Souza', '19970808', 'Paquistão', 1, 68, 1.65, 70, 0, 3);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (77, 'Maria Vitória Barbosa', '19960916', 'Dhekelia', 4, 72, 1.89, 82, 1, 3);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (78, 'Ana Sophia da Cunha', '19980429', 'Belize', 0, 82, 1.9, 100, 1, 3);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (79, 'Dr. Vitor Moraes', '19890714', 'Croácia', 4, 18, 1.89, 92, 2, 3);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (80, 'Joaquim Aragão', '19891127', 'África do Sul', 2, 71, 1.97, 79, 2, 3);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (81, 'Pedro Henrique Oliveira', '19940206', 'Senegal', 1, 66, 1.74, 89, 0, 3);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (82, 'Luiz Otávio Ramos', '20031010', 'Bélgica', 3, 72, 1.8, 85, 1, 3);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (83, 'João Castro', '19930318', 'Ilhas Falkland', 2, 33, 1.86, 76, 2, 3);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (84, 'Camila da Cunha', '19980919', 'Namíbia', 3, 69, 1.93, 90, 0, 3);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (85, 'Caio Farias', '19970617', 'Bósnia e Herzegovina', 0, 49, 1.69, 64, 0, 3);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (86, 'Luiz Gustavo da Rosa', '19950227', 'Ilhas Virgens Britânicas', 2, 61, 1.75, 65, 1, 3);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (87, 'Catarina da Conceição', '19890828', 'Dhekelia', 4, 41, 1.67, 71, 1, 3);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (88, 'Ana Sophia Monteiro', '19910707', 'Iêmen', 1, 41, 1.89, 70, 2, 3);
